Latest year of calibration,2100,2200,2300
2015.0,5.8182897666912465,65.2260970018066,76.66756797269453
2030.0,4.620330875182736,52.87982957991175,70.40752542084635
2045.0,4.423148854771926,40.40856310394748,69.85426871181157
2060.0,4.222436504105065,22.92003701112505,67.13116673240502
2075.0,4.143384051073719,21.88034008032368,66.13919917502665
2090.0,4.025038871825569,20.51554395273234,61.1880246872021
2105.0,0.0,17.383546070930496,58.25738008494167
2120.0,0.0,15.580622587188838,56.41957386908494
2135.0,0.0,14.811304933798551,53.05407751296844
2150.0,0.0,14.46581014990449,50.184121366999335
2165.0,0.0,13.675259051885634,42.595357247466815
2180.0,0.0,12.230027482694414,35.00500190617131
2195.0,0.0,10.0191244804931,29.067573185161997
2210.0,0.0,0.0,20.452460881381395
2225.0,0.0,0.0,17.055860238714043
2240.0,0.0,0.0,15.09047392830788
2255.0,0.0,0.0,14.106868070883133
2270.0,0.0,0.0,13.374366349833036
2285.0,0.0,0.0,12.926373380999449
2300.0,0.0,0.0,0.0
total_%_decrease,30.820927914792833,84.63939291014823,83.139711193652
