Latest year of calibration,2100,2200,2300
2030.0,0.5029927562853862,23.68699546747009,16.980668164356914
2045.0,0.9840721614802495,23.75907160222524,15.524181141649528
2060.0,2.0694298497145867,13.093618224707548,22.816879182767394
2075.0,2.2922358100077425,12.175228488182695,26.118532512612134
2090.0,2.394392564503674,10.585589170013261,25.745237474781554
2105.0,0.0,6.83200026296395,28.751894693361926
2120.0,0.0,4.88636358889257,31.320583019042168
2135.0,0.0,4.057640575187184,28.194496371601353
2150.0,0.0,3.898974164661878,29.31060269664475
2165.0,0.0,3.333382834502798,26.61811774650124
2180.0,0.0,2.758448114884464,24.059146059542027
2195.0,0.0,2.0876720804613207,21.85273284535549
2210.0,0.0,0.0,8.754994551254757
2225.0,0.0,0.0,6.493321751261584
2240.0,0.0,0.0,5.838123457796279
2255.0,0.0,0.0,5.623425523411196
2270.0,0.0,0.0,5.5704971927264175
2285.0,0.0,0.0,5.214255211257743
2300.0,0.0,0.0,0.0
