Latest year of calibration,2100,2200,2300
2015,"(-3.17347, 2.64482)","(0.944836, 66.1709)","(47.8775, 124.545)"
2030,"(-2.76648, 2.21403)","(1.23296, 64.4564)","(47.5953, 125.584)"
2045,"(-2.5816, 2.03873)","(3.43269, 56.3125)","(49.6166, 120.024)"
2060,"(-2.43536, 1.98779)","(6.86573, 47.2743)","(50.1586, 120.013)"
2075,"(-2.37939, 1.84304)","(12.0981, 35.0182)","(50.3669, 117.498)"
2090,"(-2.35041, 1.79297)","(12.6329, 34.5132)","(50.8015, 116.941)"
2105,,"(12.9738, 33.4893)","(51.438, 112.626)"
2120,,"(14.0551, 31.4387)","(52.6001, 110.858)"
2135,,"(14.7472, 30.3278)","(53.3711, 109.791)"
2150,,"(15.2644, 30.0757)","(54.0525, 107.107)"
2165,,"(15.6047, 30.0705)","(55.1284, 105.313)"
2180,,"(16.0973, 29.7726)","(58.8185, 101.414)"
2195,,"(16.8119, 29.0419)","(61.8261, 96.8311)"
2210,,,"(65.2152, 94.2828)"
2225,,,"(69.5101, 89.9626)"
2240,,,"(71.3384, 88.3943)"
2255,,,"(72.0402, 87.1307)"
2270,,,"(72.5765, 86.6833)"
2285,,,"(72.9826, 86.3569)"
2300,,,"(73.1872, 86.1135)"
